Wk,Home,Away
24,Tottenham,West Ham
25,Fulham,Wolves
25,Leicester City,Arsenal
25,Everton,Aston Villa
25,Leeds United,Southampton
25,West Ham,Nott'ham Forest
25,Bournemouth,Manchester City
25,Crystal Palace,Liverpool
25,Tottenham,Chelsea
7,Arsenal,Everton
7,Liverpool,Wolves
26,Manchester City,Newcastle Utd
26,Chelsea,Leeds United
26,Aston Villa,Crystal Palace
26,Wolves,Tottenham
26,Brighton,West Ham
26,Arsenal,Bournemouth
26,Southampton,Leicester City
26,Nott'ham Forest,Everton
26,Liverpool,Manchester Utd
26,Brentford,Fulham
27,Bournemouth,Liverpool
27,Tottenham,Nott'ham Forest
27,Everton,Brentford
27,Leicester City,Chelsea
27,Leeds United,Brighton
27,Crystal Palace,Manchester City
27,Fulham,Arsenal
27,West Ham,Aston Villa
27,Manchester Utd,Southampton
27,Newcastle Utd,Wolves
7,Southampton,Brentford
8,Brighton,Crystal Palace
28,Nott'ham Forest,Newcastle Utd
28,Wolves,Leeds United
28,Brentford,Leicester City
28,Aston Villa,Bournemouth
28,Southampton,Tottenham
28,Chelsea,Everton
28,Arsenal,Crystal Palace
29,Manchester City,Liverpool
29,Arsenal,Leeds United
29,Bournemouth,Fulham
29,Crystal Palace,Leicester City
29,Brighton,Brentford
29,Nott'ham Forest,Wolves
29,Chelsea,Aston Villa
29,West Ham,Southampton
29,Newcastle Utd,Manchester Utd
29,Everton,Tottenham
7,Leeds United,Nott'ham Forest
7,Leicester City,Aston Villa
7,Bournemouth,Brighton
8,Chelsea,Liverpool
7,West Ham,Newcastle Utd
25,Manchester Utd,Brentford
30,Manchester Utd,Everton
30,Fulham,West Ham
30,Wolves,Chelsea
30,Tottenham,Brighton
30,Leicester City,Bournemouth
30,Brentford,Newcastle Utd
30,Aston Villa,Nott'ham Forest
30,Southampton,Manchester City
30,Leeds United,Crystal Palace
30,Liverpool,Arsenal
31,Aston Villa,Newcastle Utd
31,Southampton,Crystal Palace
31,Everton,Fulham
31,Tottenham,Bournemouth
31,Chelsea,Brighton
31,Wolves,Brentford
31,Manchester City,Leicester City
31,West Ham,Arsenal
31,Nott'ham Forest,Manchester Utd
31,Leeds United,Liverpool
32,Arsenal,Southampton
32,Fulham,Leeds United
32,Brentford,Aston Villa
32,Crystal Palace,Everton
32,Liverpool,Nott'ham Forest
32,Leicester City,Wolves
32,Bournemouth,West Ham
32,Newcastle Utd,Tottenham
33,Wolves,Crystal Palace
33,Aston Villa,Fulham
33,Leeds United,Leicester City
33,Nott'ham Forest,Brighton
33,Chelsea,Brentford
33,West Ham,Liverpool
33,Manchester City,Arsenal
33,Southampton,Bournemouth
33,Everton,Newcastle Utd
33,Tottenham,Manchester Utd
34,Crystal Palace,West Ham
34,Brentford,Nott'ham Forest
34,Brighton,Wolves
34,Fulham,Manchester City
34,Manchester Utd,Aston Villa
34,Newcastle Utd,Southampton
34,Bournemouth,Leeds United
34,Liverpool,Tottenham
34,Leicester City,Everton
34,Arsenal,Chelsea
28,Liverpool,Fulham
28,Manchester City,West Ham
28,Brighton,Manchester Utd
35,Tottenham,Crystal Palace
35,Manchester City,Leeds United
35,Bournemouth,Chelsea
35,Wolves,Aston Villa
35,Liverpool,Brentford
35,Newcastle Utd,Arsenal
35,West Ham,Manchester Utd
35,Fulham,Leicester City
35,Brighton,Everton
35,Nott'ham Forest,Southampton
36,Leeds United,Newcastle Utd
36,Chelsea,Nott'ham Forest
36,Manchester Utd,Wolves
36,Aston Villa,Tottenham
36,Crystal Palace,Bournemouth
36,Southampton,Fulham
36,Brentford,West Ham
36,Everton,Manchester City
36,Arsenal,Brighton
36,Leicester City,Liverpool
25,Newcastle Utd,Brighton
37,Tottenham,Brentford
37,Wolves,Everton
37,Liverpool,Aston Villa
37,Bournemouth,Manchester Utd
37,Fulham,Crystal Palace
37,Nott'ham Forest,Arsenal
37,West Ham,Leeds United
37,Brighton,Southampton
37,Manchester City,Chelsea
37,Newcastle Utd,Leicester City
32,Brighton,Manchester City
32,Manchester Utd,Chelsea
38,Brentford,Manchester City
38,Everton,Bournemouth
38,Crystal Palace,Nott'ham Forest
38,Southampton,Liverpool
38,Leicester City,West Ham
38,Aston Villa,Brighton
38,Leeds United,Tottenham
38,Arsenal,Wolves
38,Manchester Utd,Fulham
38,Chelsea,Newcastle Utd
1,Burnley,Manchester City
1,Arsenal,Nott'ham Forest
1,Everton,Fulham
1,Brighton,Luton Town
1,Sheffield Utd,Crystal Palace
1,Bournemouth,West Ham
1,Newcastle Utd,Aston Villa
1,Brentford,Tottenham
1,Chelsea,Liverpool
1,Manchester Utd,Wolves
2,Nott'ham Forest,Sheffield Utd
2,Wolves,Brighton
2,Fulham,Brentford
2,Liverpool,Bournemouth
2,Tottenham,Manchester Utd
2,Manchester City,Newcastle Utd
2,Aston Villa,Everton
2,West Ham,Chelsea
2,Crystal Palace,Arsenal
3,Chelsea,Luton Town
3,Bournemouth,Tottenham
3,Everton,Wolves
3,Manchester Utd,Nott'ham Forest
3,Brentford,Crystal Palace
3,Arsenal,Fulham
3,Brighton,West Ham
3,Sheffield Utd,Manchester City
3,Burnley,Aston Villa
3,Newcastle Utd,Liverpool
4,Luton Town,West Ham
4,Sheffield Utd,Everton
4,Brentford,Bournemouth
4,Manchester City,Fulham
4,Chelsea,Nott'ham Forest
4,Burnley,Tottenham
4,Brighton,Newcastle Utd
4,Crystal Palace,Wolves
4,Liverpool,Aston Villa
4,Arsenal,Manchester Utd
5,Wolves,Liverpool
5,Tottenham,Sheffield Utd
5,West Ham,Manchester City
5,Aston Villa,Crystal Palace
5,Fulham,Luton Town
5,Manchester Utd,Brighton
5,Newcastle Utd,Brentford
5,Bournemouth,Chelsea
5,Everton,Arsenal
5,Nott'ham Forest,Burnley
6,Luton Town,Wolves
6,Manchester City,Nott'ham Forest
6,Crystal Palace,Fulham
6,Brentford,Everton
6,Burnley,Manchester Utd
6,Chelsea,Aston Villa
6,Arsenal,Tottenham
6,Liverpool,West Ham
6,Brighton,Bournemouth
6,Sheffield Utd,Newcastle Utd
7,Aston Villa,Brighton
7,Manchester Utd,Crystal Palace
7,Wolves,Manchester City
7,West Ham,Sheffield Utd
7,Bournemouth,Arsenal
7,Newcastle Utd,Burnley
7,Everton,Luton Town
7,Tottenham,Liverpool
7,Nott'ham Forest,Brentford
7,Fulham,Chelsea
2,Luton Town,Burnley
8,Luton Town,Tottenham
8,Burnley,Chelsea
8,Manchester Utd,Brentford
8,Everton,Bournemouth
8,Fulham,Sheffield Utd
8,Crystal Palace,Nott'ham Forest
8,West Ham,Newcastle Utd
8,Wolves,Aston Villa
8,Brighton,Liverpool
8,Arsenal,Manchester City
9,Liverpool,Everton
9,Brentford,Burnley
9,Nott'ham Forest,Luton Town
9,Bournemouth,Wolves
9,Newcastle Utd,Crystal Palace
9,Manchester City,Brighton
9,Chelsea,Arsenal
9,Sheffield Utd,Manchester Utd
9,Aston Villa,West Ham
9,Tottenham,Fulham
10,Crystal Palace,Tottenham
10,Chelsea,Brentford
10,Arsenal,Sheffield Utd
10,Bournemouth,Burnley
10,Wolves,Newcastle Utd
10,West Ham,Everton
10,Brighton,Fulham
10,Liverpool,Nott'ham Forest
10,Aston Villa,Luton Town
10,Manchester Utd,Manchester City
11,Fulham,Manchester Utd
11,Brentford,West Ham
11,Burnley,Crystal Palace
11,Manchester City,Bournemouth
11,Everton,Brighton
11,Sheffield Utd,Wolves
11,Newcastle Utd,Arsenal
11,Nott'ham Forest,Aston Villa
11,Luton Town,Liverpool
11,Tottenham,Chelsea
12,Wolves,Tottenham
12,Manchester Utd,Luton Town
12,Crystal Palace,Everton
12,Arsenal,Burnley
12,Bournemouth,Newcastle Utd
12,Aston Villa,Fulham
12,Brighton,Sheffield Utd
12,Liverpool,Brentford
12,West Ham,Nott'ham Forest
12,Chelsea,Manchester City
13,Manchester City,Liverpool
13,Sheffield Utd,Bournemouth
13,Newcastle Utd,Chelsea
13,Luton Town,Crystal Palace
13,Burnley,West Ham
13,Nott'ham Forest,Brighton
13,Brentford,Arsenal
13,Tottenham,Aston Villa
13,Everton,Manchester Utd
13,Fulham,Wolves
14,Arsenal,Wolves
14,Brentford,Luton Town
14,Burnley,Sheffield Utd
14,Nott'ham Forest,Everton
14,Newcastle Utd,Manchester Utd
14,Bournemouth,Aston Villa
14,West Ham,Crystal Palace
14,Liverpool,Fulham
14,Chelsea,Brighton
14,Manchester City,Tottenham
15,Wolves,Burnley
15,Luton Town,Arsenal
15,Sheffield Utd,Liverpool
15,Brighton,Brentford
15,Crystal Palace,Bournemouth
15,Fulham,Nott'ham Forest
15,Aston Villa,Manchester City
15,Manchester Utd,Chelsea
15,Everton,Newcastle Utd
15,Tottenham,West Ham
16,Crystal Palace,Liverpool
16,Sheffield Utd,Brentford
16,Brighton,Burnley
16,Wolves,Nott'ham Forest
16,Manchester Utd,Bournemouth
16,Aston Villa,Arsenal
16,Luton Town,Manchester City
16,Fulham,West Ham
16,Everton,Chelsea
16,Tottenham,Newcastle Utd
17,Nott'ham Forest,Tottenham
17,Chelsea,Sheffield Utd
17,Newcastle Utd,Fulham
17,Manchester City,Crystal Palace
17,Burnley,Everton
17,West Ham,Wolves
17,Arsenal,Brighton
17,Brentford,Aston Villa
17,Liverpool,Manchester Utd
18,Crystal Palace,Brighton
18,Aston Villa,Sheffield Utd
18,West Ham,Manchester Utd
18,Fulham,Burnley
18,Nott'ham Forest,Bournemouth
18,Luton Town,Newcastle Utd
18,Tottenham,Everton
18,Liverpool,Arsenal
18,Wolves,Chelsea
19,Newcastle Utd,Nott'ham Forest
19,Bournemouth,Fulham
19,Sheffield Utd,Luton Town
19,Burnley,Liverpool
19,Manchester Utd,Aston Villa
19,Brentford,Wolves
19,Chelsea,Crystal Palace
19,Everton,Manchester City
19,Brighton,Tottenham
19,Arsenal,West Ham
20,Luton Town,Chelsea
20,Crystal Palace,Brentford
20,Wolves,Everton
20,Manchester City,Sheffield Utd
20,Aston Villa,Burnley
20,Nott'ham Forest,Manchester Utd
20,Fulham,Arsenal
20,Tottenham,Bournemouth
20,Liverpool,Newcastle Utd
20,West Ham,Brighton
21,Burnley,Luton Town
21,Chelsea,Fulham
21,Newcastle Utd,Manchester City
21,Everton,Aston Villa
21,Manchester Utd,Tottenham
21,Arsenal,Crystal Palace
21,Brentford,Nott'ham Forest
21,Sheffield Utd,West Ham
21,Bournemouth,Liverpool
21,Brighton,Wolves
22,Nott'ham Forest,Arsenal
22,Luton Town,Brighton
22,Fulham,Everton
22,Crystal Palace,Sheffield Utd
22,Aston Villa,Newcastle Utd
22,Manchester City,Burnley
22,Tottenham,Brentford
22,Liverpool,Chelsea
22,West Ham,Bournemouth
22,Wolves,Manchester Utd
23,Everton,Tottenham
23,Burnley,Fulham
23,Brighton,Crystal Palace
23,Newcastle Utd,Luton Town
23,Sheffield Utd,Aston Villa
23,Chelsea,Wolves
23,Bournemouth,Nott'ham Forest
23,Manchester Utd,West Ham
23,Arsenal,Liverpool
23,Brentford,Manchester City
24,Manchester City,Everton
24,Wolves,Brentford
24,Fulham,Bournemouth
24,Tottenham,Brighton
24,Liverpool,Burnley
24,Luton Town,Sheffield Utd
24,Nott'ham Forest,Newcastle Utd
24,West Ham,Arsenal
24,Aston Villa,Manchester Utd
24,Crystal Palace,Chelsea
25,Brentford,Liverpool
25,Nott'ham Forest,West Ham
25,Burnley,Arsenal
25,Fulham,Aston Villa
25,Newcastle Utd,Bournemouth
25,Tottenham,Wolves
25,Manchester City,Chelsea
25,Sheffield Utd,Brighton
25,Luton Town,Manchester Utd
25,Everton,Crystal Palace
18,Manchester City,Brentford
26,Liverpool,Luton Town
26,Aston Villa,Nott'ham Forest
26,Manchester Utd,Fulham
26,Crystal Palace,Burnley
26,Brighton,Everton
26,Bournemouth,Manchester City
26,Arsenal,Newcastle Utd
26,Wolves,Sheffield Utd
26,West Ham,Brentford
27,Brentford,Chelsea
27,Newcastle Utd,Wolves
27,Fulham,Brighton
27,Everton,West Ham
27,Tottenham,Crystal Palace
27,Nott'ham Forest,Liverpool
27,Luton Town,Aston Villa
27,Burnley,Bournemouth
27,Manchester City,Manchester Utd
27,Sheffield Utd,Arsenal
28,Manchester Utd,Everton
28,Wolves,Fulham
28,Bournemouth,Sheffield Utd
28,Crystal Palace,Luton Town
28,Arsenal,Brentford
28,Aston Villa,Tottenham
28,Brighton,Nott'ham Forest
28,West Ham,Burnley
28,Liverpool,Manchester City
28,Chelsea,Newcastle Utd
17,Bournemouth,Luton Town
29,Burnley,Brentford
29,Luton Town,Nott'ham Forest
29,Fulham,Tottenham
29,West Ham,Aston Villa
30,Newcastle Utd,West Ham
30,Nott'ham Forest,Crystal Palace
30,Sheffield Utd,Fulham
30,Chelsea,Burnley
30,Tottenham,Luton Town
30,Bournemouth,Everton
30,Aston Villa,Wolves
30,Brentford,Manchester Utd
30,Liverpool,Brighton
30,Manchester City,Arsenal
31,Newcastle Utd,Everton
31,Nott'ham Forest,Fulham
31,Bournemouth,Crystal Palace
31,Burnley,Wolves
31,West Ham,Tottenham
31,Brentford,Brighton
31,Arsenal,Luton Town
31,Manchester City,Aston Villa
31,Liverpool,Sheffield Utd
31,Chelsea,Manchester Utd
32,Crystal Palace,Manchester City
32,Luton Town,Bournemouth
32,Everton,Burnley
32,Wolves,West Ham
32,Aston Villa,Brentford
32,Fulham,Newcastle Utd
32,Brighton,Arsenal
32,Manchester Utd,Liverpool
32,Sheffield Utd,Chelsea
32,Tottenham,Nott'ham Forest
33,Newcastle Utd,Tottenham
33,Manchester City,Luton Town
33,Burnley,Brighton
33,Nott'ham Forest,Wolves
33,Brentford,Sheffield Utd
33,Bournemouth,Manchester Utd
33,Liverpool,Crystal Palace
33,West Ham,Fulham
33,Arsenal,Aston Villa
33,Chelsea,Everton
34,Sheffield Utd,Burnley
34,Luton Town,Brentford
34,Wolves,Arsenal
34,Everton,Nott'ham Forest
34,Crystal Palace,West Ham
34,Aston Villa,Bournemouth
34,Fulham,Liverpool
29,Arsenal,Chelsea
29,Wolves,Bournemouth
29,Everton,Liverpool
29,Manchester Utd,Sheffield Utd
29,Crystal Palace,Newcastle Utd
29,Brighton,Manchester City
35,West Ham,Liverpool
35,Wolves,Luton Town
35,Manchester Utd,Burnley
35,Fulham,Crystal Palace
35,Newcastle Utd,Sheffield Utd
35,Everton,Brentford
35,Aston Villa,Chelsea
35,Tottenham,Arsenal
35,Bournemouth,Brighton
35,Nott'ham Forest,Manchester City
26,Chelsea,Tottenham
36,Luton Town,Everton
36,Arsenal,Bournemouth
36,Brentford,Fulham
36,Burnley,Newcastle Utd
36,Sheffield Utd,Nott'ham Forest
36,Manchester City,Wolves
36,Brighton,Aston Villa
36,Chelsea,West Ham
36,Liverpool,Tottenham
36,Crystal Palace,Manchester Utd
37,Fulham,Manchester City
37,Newcastle Utd,Brighton
37,Tottenham,Burnley
37,Wolves,Crystal Palace
37,Bournemouth,Brentford
37,Everton,Sheffield Utd
37,West Ham,Luton Town
37,Nott'ham Forest,Chelsea
37,Manchester Utd,Arsenal
37,Aston Villa,Liverpool
34,Tottenham,Manchester City
34,Brighton,Chelsea
34,Manchester Utd,Newcastle Utd
38,Liverpool,Wolves
38,Luton Town,Fulham
38,Chelsea,Bournemouth
38,Burnley,Nott'ham Forest
38,Crystal Palace,Aston Villa
38,Brighton,Manchester Utd
38,Brentford,Newcastle Utd
38,Manchester City,West Ham
38,Arsenal,Everton
38,Sheffield Utd,Tottenham
1,Manchester Utd,Fulham
1,Ipswich Town,Liverpool
1,Newcastle Utd,Southampton
1,Everton,Brighton
1,Nott'ham Forest,Bournemouth
1,Arsenal,Wolves
1,West Ham,Aston Villa
1,Brentford,Crystal Palace
1,Chelsea,Manchester City
1,Leicester City,Tottenham
2,Brighton,Manchester Utd
2,Manchester City,Ipswich Town
2,Southampton,Nott'ham Forest
2,Tottenham,Everton
2,Fulham,Leicester City
2,Crystal Palace,West Ham
2,Aston Villa,Arsenal
2,Wolves,Chelsea
2,Bournemouth,Newcastle Utd
2,Liverpool,Brentford
3,Arsenal,Brighton
3,Ipswich Town,Fulham
3,Nott'ham Forest,Wolves
3,Brentford,Southampton
3,Leicester City,Aston Villa
3,Everton,Bournemouth
3,West Ham,Manchester City
3,Newcastle Utd,Tottenham
3,Chelsea,Crystal Palace
3,Manchester Utd,Liverpool
4,Southampton,Manchester Utd
4,Manchester City,Brentford
4,Liverpool,Nott'ham Forest
4,Crystal Palace,Leicester City
4,Fulham,West Ham
4,Brighton,Ipswich Town
4,Aston Villa,Everton
4,Bournemouth,Chelsea
4,Tottenham,Arsenal
4,Wolves,Newcastle Utd
5,West Ham,Chelsea
5,Tottenham,Brentford
5,Aston Villa,Wolves
5,Fulham,Newcastle Utd
5,Southampton,Ipswich Town
5,Leicester City,Everton
5,Liverpool,Bournemouth
5,Crystal Palace,Manchester Utd
5,Brighton,Nott'ham Forest
5,Manchester City,Arsenal
6,Newcastle Utd,Manchester City
6,Brentford,West Ham
6,Everton,Crystal Palace
6,Arsenal,Leicester City
6,Chelsea,Brighton
6,Nott'ham Forest,Fulham
6,Wolves,Liverpool
6,Ipswich Town,Aston Villa
6,Manchester Utd,Tottenham
6,Bournemouth,Southampton
7,Crystal Palace,Liverpool
7,Brentford,Wolves
7,Leicester City,Bournemouth
7,Manchester City,Fulham
7,West Ham,Ipswich Town
7,Arsenal,Southampton
7,Everton,Newcastle Utd
7,Aston Villa,Manchester Utd
7,Chelsea,Nott'ham Forest
7,Brighton,Tottenham
8,Tottenham,West Ham
8,Fulham,Aston Villa
8,Ipswich Town,Everton
8,Southampton,Leicester City
8,Manchester Utd,Brentford
8,Newcastle Utd,Brighton
8,Bournemouth,Arsenal
8,Wolves,Manchester City
8,Liverpool,Chelsea
8,Nott'ham Forest,Crystal Palace
9,Leicester City,Nott'ham Forest
9,Brighton,Wolves
9,Manchester City,Southampton
9,Brentford,Ipswich Town
9,Aston Villa,Bournemouth
9,Everton,Fulham
9,West Ham,Manchester Utd
9,Chelsea,Newcastle Utd
9,Crystal Palace,Tottenham
9,Arsenal,Liverpool
10,Newcastle Utd,Arsenal
10,Liverpool,Brighton
10,Southampton,Everton
10,Nott'ham Forest,West Ham
10,Ipswich Town,Leicester City
10,Bournemouth,Manchester City
10,Wolves,Crystal Palace
10,Tottenham,Aston Villa
10,Manchester Utd,Chelsea
10,Fulham,Brentford
11,West Ham,Everton
11,Crystal Palace,Fulham
11,Wolves,Southampton
11,Brentford,Bournemouth
11,Brighton,Manchester City
11,Liverpool,Aston Villa
11,Tottenham,Ipswich Town
11,Nott'ham Forest,Newcastle Utd
11,Manchester Utd,Leicester City
11,Chelsea,Arsenal
12,Leicester City,Chelsea
12,Aston Villa,Crystal Palace
12,Fulham,Wolves
12,Bournemouth,Brighton
12,Arsenal,Nott'ham Forest
12,Everton,Brentford
12,Manchester City,Tottenham
12,Southampton,Liverpool
12,Ipswich Town,Manchester Utd
12,Newcastle Utd,West Ham
13,Brighton,Southampton
13,Wolves,Bournemouth
13,Nott'ham Forest,Ipswich Town
13,Brentford,Leicester City
13,Crystal Palace,Newcastle Utd
13,West Ham,Arsenal
13,Manchester Utd,Everton
13,Tottenham,Fulham
13,Chelsea,Aston Villa
13,Liverpool,Manchester City
14,Ipswich Town,Crystal Palace
14,Leicester City,West Ham
14,Newcastle Utd,Liverpool
14,Everton,Wolves
14,Manchester City,Nott'ham Forest
14,Southampton,Chelsea
14,Arsenal,Manchester Utd
14,Aston Villa,Brentford
14,Fulham,Brighton
14,Bournemouth,Tottenham
15,Aston Villa,Southampton
15,Crystal Palace,Manchester City
15,Brentford,Newcastle Utd
15,Manchester Utd,Nott'ham Forest
15,Leicester City,Brighton
15,Ipswich Town,Bournemouth
15,Fulham,Arsenal
15,Tottenham,Chelsea
15,West Ham,Wolves
16,Liverpool,Fulham
16,Wolves,Ipswich Town
16,Newcastle Utd,Leicester City
16,Arsenal,Everton
16,Nott'ham Forest,Aston Villa
16,Brighton,Crystal Palace
16,Manchester City,Manchester Utd
16,Southampton,Tottenham
16,Chelsea,Brentford
16,Bournemouth,West Ham
17,Aston Villa,Manchester City
17,Ipswich Town,Newcastle Utd
17,Brentford,Nott'ham Forest
17,West Ham,Brighton
17,Crystal Palace,Arsenal
17,Manchester Utd,Bournemouth
17,Leicester City,Wolves
17,Everton,Chelsea
17,Fulham,Southampton
17,Tottenham,Liverpool
18,Manchester City,Everton
18,Southampton,West Ham
18,Newcastle Utd,Aston Villa
18,Nott'ham Forest,Tottenham
18,Bournemouth,Crystal Palace
18,Chelsea,Fulham
18,Wolves,Manchester Utd
18,Liverpool,Leicester City
18,Brighton,Brentford
18,Arsenal,Ipswich Town
19,Leicester City,Manchester City
19,Everton,Nott'ham Forest
19,Tottenham,Wolves
19,Fulham,Bournemouth
19,Crystal Palace,Southampton
19,West Ham,Liverpool
19,Aston Villa,Brighton
19,Ipswich Town,Chelsea
19,Manchester Utd,Newcastle Utd
19,Brentford,Arsenal
20,Tottenham,Newcastle Utd
20,Aston Villa,Leicester City
20,Bournemouth,Everton
20,Crystal Palace,Chelsea
20,Southampton,Brentford
20,Manchester City,West Ham
20,Brighton,Arsenal
20,Fulham,Ipswich Town
20,Liverpool,Manchester Utd
20,Wolves,Nott'ham Forest
21,West Ham,Fulham
21,Chelsea,Bournemouth
21,Brentford,Manchester City
21,Nott'ham Forest,Liverpool
21,Leicester City,Crystal Palace
21,Everton,Aston Villa
21,Newcastle Utd,Wolves
21,Arsenal,Tottenham
21,Ipswich Town,Brighton
21,Manchester Utd,Southampton
22,Newcastle Utd,Bournemouth
22,Leicester City,Fulham
22,West Ham,Crystal Palace
22,Brentford,Liverpool
22,Arsenal,Aston Villa
22,Everton,Tottenham
22,Manchester Utd,Brighton
22,Nott'ham Forest,Southampton
22,Ipswich Town,Manchester City
22,Chelsea,Wolves
23,Southampton,Newcastle Utd
23,Brighton,Everton
23,Liverpool,Ipswich Town
23,Bournemouth,Nott'ham Forest
23,Wolves,Arsenal
23,Manchester City,Chelsea
23,Crystal Palace,Brentford
23,Tottenham,Leicester City
23,Aston Villa,West Ham
23,Fulham,Manchester Utd
24,Nott'ham Forest,Brighton
24,Everton,Leicester City
24,Newcastle Utd,Fulham
24,Bournemouth,Liverpool
24,Ipswich Town,Southampton
24,Wolves,Aston Villa
24,Manchester Utd,Crystal Palace
24,Brentford,Tottenham
24,Arsenal,Manchester City
24,Chelsea,West Ham
15,Everton,Liverpool
25,Brighton,Chelsea
25,Leicester City,Arsenal
25,Fulham,Nott'ham Forest
25,Manchester City,Newcastle Utd
25,Southampton,Bournemouth
25,Aston Villa,Ipswich Town
25,West Ham,Brentford
25,Crystal Palace,Everton
25,Liverpool,Wolves
25,Tottenham,Manchester Utd
29,Aston Villa,Liverpool
26,Leicester City,Brentford
26,Everton,Manchester Utd
26,Fulham,Crystal Palace
26,Bournemouth,Wolves
26,Ipswich Town,Tottenham
26,Arsenal,West Ham
26,Southampton,Brighton
26,Aston Villa,Chelsea
26,Newcastle Utd,Nott'ham Forest
26,Manchester City,Liverpool
27,Brighton,Bournemouth
27,Crystal Palace,Aston Villa
27,Wolves,Fulham
27,Chelsea,Southampton
27,Tottenham,Manchester City
27,Nott'ham Forest,Arsenal
27,Manchester Utd,Ipswich Town
27,Brentford,Everton
27,Liverpool,Newcastle Utd
27,West Ham,Leicester City
28,Nott'ham Forest,Manchester City
28,Liverpool,Southampton
28,Brighton,Fulham
28,Crystal Palace,Ipswich Town
28,Brentford,Aston Villa
28,Wolves,Everton
28,Chelsea,Leicester City
28,Tottenham,Bournemouth
28,Manchester Utd,Arsenal
28,West Ham,Newcastle Utd
29,Everton,West Ham
29,Southampton,Wolves
29,Ipswich Town,Nott'ham Forest
29,Manchester City,Brighton
29,Bournemouth,Brentford
29,Arsenal,Chelsea
29,Fulham,Tottenham
29,Leicester City,Manchester Utd
30,Arsenal,Fulham
30,Wolves,West Ham
30,Nott'ham Forest,Manchester Utd
30,Newcastle Utd,Brentford
30,Manchester City,Leicester City
30,Southampton,Crystal Palace
30,Bournemouth,Ipswich Town
30,Brighton,Aston Villa
30,Liverpool,Everton
30,Chelsea,Tottenham
31,Everton,Arsenal
31,Crystal Palace,Brighton
31,Ipswich Town,Wolves
31,West Ham,Bournemouth
31,Aston Villa,Nott'ham Forest
31,Fulham,Liverpool
31,Brentford,Chelsea
31,Tottenham,Southampton
31,Manchester Utd,Manchester City
31,Leicester City,Newcastle Utd
32,Manchester City,Crystal Palace
32,Brighton,Leicester City
32,Southampton,Aston Villa
32,Nott'ham Forest,Everton
32,Arsenal,Brentford
32,Liverpool,West Ham
32,Chelsea,Ipswich Town
32,Wolves,Tottenham
32,Newcastle Utd,Manchester Utd
32,Bournemouth,Fulham
29,Newcastle Utd,Crystal Palace
33,Everton,Manchester City
33,West Ham,Southampton
33,Crystal Palace,Bournemouth
33,Brentford,Brighton
33,Aston Villa,Newcastle Utd
33,Fulham,Chelsea
33,Ipswich Town,Arsenal
33,Manchester Utd,Wolves
33,Leicester City,Liverpool
33,Tottenham,Nott'ham Forest
34,Manchester City,Aston Villa
34,Arsenal,Crystal Palace
34,Chelsea,Everton
34,Brighton,West Ham
34,Wolves,Leicester City
34,Southampton,Fulham
34,Newcastle Utd,Ipswich Town
34,Bournemouth,Manchester Utd
34,Liverpool,Tottenham
34,Nott'ham Forest,Brentford
35,Manchester City,Wolves
35,Aston Villa,Fulham
35,Leicester City,Southampton
35,Everton,Ipswich Town
35,Arsenal,Bournemouth
35,Brighton,Newcastle Utd
35,West Ham,Tottenham
35,Brentford,Manchester Utd
35,Chelsea,Liverpool
35,Crystal Palace,Nott'ham Forest
36,Ipswich Town,Brentford
36,Fulham,Everton
36,Wolves,Brighton
36,Southampton,Manchester City
36,Bournemouth,Aston Villa
36,Newcastle Utd,Chelsea
36,Nott'ham Forest,Leicester City
36,Tottenham,Crystal Palace
36,Manchester Utd,West Ham
36,Liverpool,Arsenal
37,Aston Villa,Tottenham
37,Chelsea,Manchester Utd
37,Everton,Southampton
37,West Ham,Nott'ham Forest
37,Brentford,Fulham
37,Leicester City,Ipswich Town
37,Arsenal,Newcastle Utd
37,Brighton,Liverpool
37,Manchester City,Bournemouth
37,Crystal Palace,Wolves
